CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,cohesiveness_clustering,civic_volunteering
"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest,3693351,0.8772521214474335,3.3844603450904067,0.1364552017673221,0.1379462655125841,1.0289620955328773,0.09574918936565634,0.07768498538886573
"Modesto, CA",West,552250,3.9474875509280216,3.766410140334993,0.0596070343030829,0.1722861485019539,0.74586999,0.084260002,0.04253
"Nashville-Davidson--Murfreesboro--Franklin, TN",South,2043713,2.573746900861324,6.106532570864891,0.0432978529412101,0.1302238579163402,0.8124771448856951,0.0918058229155953,0.07009801891705496
"New Orleans-Metairie, LA",South,988763,3.519549174069014,25.55105592576467,0.1524749100385733,0.1312983785369726,0.7240511262656123,0.0908129310980325,0.0637905086438912
"New York-Newark-Jersey City, NY-NJ",Northeast,19756722,1.510372014142832,3.4722359306366712,0.2728900736419336,0.0784771958256807,0.8393636515083279,0.08954443672271524,0.05321341005234545
"North Port-Bradenton-Sarasota, FL",South,865031,3.44496324409183,3.537445478832551,0.0143876558083498,0.1788146981140817,0.7474138095457107,0.08834885699601144,0.05981313262990317
"Ogden, UT",West,645510,0.9604808600951186,0.3797521382607232,0.0579569157817101,0.1183073992461845,1.0676934162632994,0.08140014745002443,0.06060209236075453
"Oklahoma City, OK",South,1445122,2.532658142357531,6.1032909332222465,0.055884909384824,0.1384954062857932,0.7825520572520714,0.08745582288565433,0.08355477243265422
"Omaha, NE-IA",Midwest,972840,0.9251264339459728,3.556597179392295,0.1563509440260773,0.0963785333477334,0.8845509714582761,0.09367573531280726,0.07048819411301226
"Orlando-Kissimmee-Sanford, FL",South,2721022,3.3222811134933865,5.990396255524578,0.0146142985404442,0.1852869935866656,0.7615215764471174,0.07897500454640424,0.050279354669305026
"Oxnard-Thousand Oaks-Ventura, CA",West,838259,1.4076794880818455,3.0778076942806463,0.0367349847786024,0.1793104384509131,0.78140998,0.08511999999999999,0.056940001
"Palm Bay-Melbourne-Titusville, FL",South,620533,3.8031821031274737,6.574992788457665,0.00761730755516,0.2412237953413185,0.78833997,0.08901,0.070459999
"Pensacola-Ferry Pass-Brent, FL",South,516994,3.907202017818389,7.543607856184018,0.0261381791788557,0.1646094541785238,0.7458802994521168,0.08788410424308454,0.061283863875048764
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast,6241882,2.1756258769390384,10.721125455431553,0.2150186638693866,0.0987643813011645,0.8962368183211933,0.09133340323293272,0.06244935387199165
