COG ID,Length (Mi),Functional Class,Route,Location,Speed,Lanes,Average Weekday Traffic 2018,Average Weekday Traffic 2019,Average Weekday Traffic 2020,Average Annual Daily Traffic 2018,Average Annual Daily Traffic 2019,Average Annual Daily Traffic 2020,AWDT21,AWDT22,ADT21,ADT22,VMT,VHT,VHD
19004,1.32700002,Urban Interstate,I-25 NBD,BERNALILLO ON RAMP - U.S. 550 OFF RAMP,70,2,33985,34549,26965,32984,33532,25693,30875,30782,29418,29330,38921,591,70
19006,1.15699995,Urban Interstate,I-25 SBD,BERNALILLO OFF RAMP - U.S. 550 ON RAMP,70,2,25622,26047,20472,25005,25420,19506,23440,23370,22334,22267,25763,381,35
20375,0.20900001,Urban Minor Arterial,UNIVERSE,NORTH OF PDN - SOUTH OF PARADISE BLVD.,35,4,16163,16643,13258,15243,15574,12395,15616,15816,14603,14926,3119,109,31
10445,0.55699998,Urban Major Collector,KIM RD.,N.W. OF N.M. 528 - S.E. OF SARATOGA,30,2,1746,1798,1432,1592,1633,1280,1684,1706,1506,1525,849,33,8
10013,1.03799999,Urban Principal Arterial,NORTHERN BLVD.,EAST OF ROCKAWAY - N.W. OF SARATOGA,45,4,9609,9150,7289,9063,8518,6733,8574,8684,7963,8065,8370,219,51
10661,0.51899999,Urban Principal Arterial,NORTHERN BLVD.,S.E. OF SARATOGA - N.W. OF N.M. 528,45,4,10492,10162,8095,9896,9460,7477,8257,8140,7669,7532,3910,102,24
11337,1.71500003,Urban Major Collector,KIM RD.,N.W. OF SARATOGA - S.E. OF IDALIA,30,2,1303,1342,1069,1188,1218,956,1257,1273,1125,1139,1953,76,18
10665,0.58899999,Urban Major Collector,SARATOGA DR.,N.E. OF ROCKAWAY BLVD. - S.W. OF NORTHERN BLVD.,25,2,2575,2619,2112,2348,2365,1888,2484,2516,2221,2249,0,0,0
10669,1.42799997,Urban Major Collector,SARATOGA DR.,NE OF NORTHERN BLVD. - SW OF KIM RD.,30,2,1080,1336,1064,985,1213,951,1252,1268,1141,1156,1651,68,18
20221,0.361,Urban Principal Arterial,ROY AVE.,EAST OF N.M. 313 - WEST OF EDITH BLVD.,35,2,5889,7992,5435,5554,7440,5020,6956,7447,6460,6916,2497,87,23
20220,1.09000003,Urban Principal Arterial,ROY AVE.,EAST OF EDITH BLVD. - WEST OF TRAMWAY WEST RAMPS,40,4,7476,9054,4594,7051,8428,4243,5879,6576,5460,6085,6634,203,53
20450,1.20700002,Urban Local,EDITH BLVD.,NORTH OF ALAMEDA RD. - SOUTH OF ROY,25,2,1988,2032,1382,1836,1877,1236,1769,1894,1582,1694,2043,129,59
20019,0.50199997,Urban Minor Collector,MODESTO,EAST OF LOWEL - WEST OF TENNYSON,25,2,311,318,239,284,289,214,285,298,255,267,134,5,1
20760,0.48300001,Urban Principal Arterial,PASEO DEL NORTE,EAST OF EUBANK - WEST OF BROWNING,55,4,17854,16592,13462,16839,15446,12434,17220,18015,15993,16669,8051,170,36
20015,0.5,Urban Minor Collector,MODESTO,EAST OF EUBANK - WEST OF BROWNING,25,2,199,203,153,181,184,137,182,190,163,171,86,3,1
21258,0.101,Urban Principal Arterial,EUBANK,NORTH OF CORONADO AVE. - SOUTH OF SAN FRANCISCO,40,4,16438,16803,12645,15504,15642,11680,15082,14883,13931,13771,1391,39,8
20744,0.498,Urban Principal Arterial,PASEO DEL NORTE, EAST OF VENTURA - WEST OF HOLBROOK,55,6,28449,30634,23053,26832,28517,21293,27495,31111,25536,28786,14336,313,74
20331,0.1,Urban Local,HOLBROOK,NORTH OF SAN FRANCISCO - SOUTH OF SAN FRANCISCO,25,2,867,886,667,801,818,596,796,833,711,744,74,5,2
20862,0.49700001,Urban Major Collector,SAN FRANCISCO, EAST OF HOLBROOK - WEST OF EUBANK,35,2,1432,1464,1102,1306,1329,985,1314,1375,1175,1229,611,20,5
20229,0.49700001,Urban Local,CORONADO AVE.,EAST OF HOLBROOK - WEST OF EUBANK,35,2,0,2100,1638,0,1890,1474,1954,2044,1758,1839,0,0,0
25729,0.419,Urban Principal Arterial,CENTRAL, EAST OF BRIDGE - WEST OF UNSER,55,4,19504,20347,16047,18395,19447,14822,18502,16875,17184,15614,6542,184,75
26072,0.58899999,Urban Principal Arterial,BRIDGE BLVD., EAST OF COORS - WEST OF OLD COORS RD.,40,2,15423,7891,6006,14546,7346,5548,6755,6161,6274,5701,3357,103,29
29914,0.035,Rural Major Collector, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26904,4.28900003,Urban Interstate,I-25 SBD, BROADWAY OFF RAMP - RIO BRAVO ON RAMP,75,2,24773,25184,21096,23724,24118,20101,24155,24083,23016,22947,98415,1418,188
26910,0.50700003,Urban Major Collector,BOBBY FOSTER RD.,EAST OF BROADWAY - WEST OF LOS PICAROS,35,3,2453,2469,1730,2237,2242,1547,2223,2321,1988,2076,1053,35,8
26568,0.505,Urban Major Collector,GIRARD, NORTH OF AIRPORT LOOP RD. - SOUTH OF GIBSON,30,2,5187,5174,3903,4729,4698,3490,4623,2520,4134,2285,1154,46,14
